Data,Umidita R.,Batteria,Temperatura
2016-01-04 12:51:12,"5,9","8,6","57,6"
2016-01-04 13:21:12,"5,9","8,6",58
2016-01-04 13:51:12,"5,9","8,6",58
2016-01-04 14:21:12,"5,9","8,6",58
2016-01-04 14:51:12,"5,9","8,6",58
2016-01-04 15:21:12,"5,9","8,6","58,5"
2016-01-04 15:51:12,"5,9","8,6","58,5"
2016-01-04 16:21:12,"5,9","8,6","58,5"
2016-01-04 16:51:12,"5,9","8,6","58,5"
2016-01-04 17:21:12,"5,9","8,6","58,5"
2016-01-04 17:51:12,"5,9","8,6","58,5"
2016-01-04 18:21:12,"5,9","8,6","58,5"
2016-01-04 18:51:12,"5,9","8,6","58,5"
2016-01-04 19:21:12,"5,9","8,6",59
2016-01-04 19:51:12,"5,9","8,6",59
2016-01-04 20:21:12,"5,9","8,6",59
2016-01-04 20:51:12,"5,9","8,6","58,5"
2016-01-04 21:21:12,"5,9","8,6",58
2016-01-04 21:51:12,"5,9","8,6","58,5"
2016-01-04 22:21:12,"5,9","8,5",59
2016-01-04 22:51:12,"5,9","8,5","58,9"
2016-01-04 23:21:12,"5,9","8,6","58,9"
2016-01-04 23:51:12,"5,9","8,6","58,5"
2016-01-05 00:21:12,"5,9","8,5","58,5"
2016-01-05 00:51:12,"5,9","8,6","58,9"
2016-01-05 01:21:12,"5,9","8,6",58
2016-01-05 01:51:12,"5,9","8,6",58
2016-01-05 02:21:12,"5,9","8,5","58,5"
2016-01-05 02:51:12,"5,9","8,5","58,9"
2016-01-05 03:21:12,"5,9","8,6","58,9"
2016-01-05 03:51:12,"5,9","8,6","58,5"
2016-01-05 04:21:12,"5,9","8,5",58
2016-01-05 04:51:12,"5,9","8,5","58,5"
2016-01-05 05:21:12,"5,9","8,5","58,5"
2016-01-05 05:51:12,"5,9","8,5","58,9"
2016-01-05 06:21:12,"5,9","8,4","58,9"
2016-01-05 06:51:12,"5,9","8,6","58,9"
2016-01-05 07:21:12,"5,9","8,5","57,6"
2016-01-05 07:51:12,"5,9","8,5",58
2016-01-05 08:21:12,"5,9","8,4","58,5"
2016-01-05 08:51:12,"5,9","8,4","58,4"
